Y,X,Datum-Aufs,Recorderty,ID_PLACE,VSG,NAME
50.703059900000000,8.153066700000000,25.02.2026,Songmeter,481971,Hoher Westerwald,Hoher Westerwald
50.701323799999997,8.175350099999999,25.02.2026,Songmeter,481972,Hoher Westerwald,Hoher Westerwald
50.696101499999997,8.165346300000000,25.02.2026,Songmeter,481973,Hoher Westerwald,Hoher Westerwald
50.827393499999999,8.260844300000000,26.02.2026,Songmeter,481978,Hauberge bei Haiger,Hauberge bei Haiger
50.841175100000001,8.238524699999999,26.02.2026,Songmeter,481992,Hauberge bei Haiger,Hauberge bei Haiger
50.650851699999997,8.484545400000000,27.02.2026,Songmeter,482051,Wiesentäler um Hohenahr und die Aartalsperre,Wiesentäler um Hohenahr und die Aartalsperre
50.696758400000000,8.465905899999999,27.02.2026,Songmeter,482061,Wiesentäler um Hohenahr und die Aartalsperre,Wiesentäler um Hohenahr und die Aartalsperre
50.671064500000000,8.469033400000002,27.02.2026,Songmeter,482065,Wiesentäler um Hohenahr und die Aartalsperre,Wiesentäler um Hohenahr und die Aartalsperre
50.670183999999999,8.497386400000000,27.02.2026,Songmeter,482066,Wiesentäler um Hohenahr und die Aartalsperre,Wiesentäler um Hohenahr und die Aartalsperre
50.663598999999998,8.530103300000000,27.02.2026,Songmeter,482074,Wiesentäler um Hohenahr und die Aartalsperre,Wiesentäler um Hohenahr und die Aartalsperre
50.684240799999998,8.487568800000000,27.02.2026,Songmeter,482079,Wiesentäler um Hohenahr und die Aartalsperre,Wiesentäler um Hohenahr und die Aartalsperre
50.674486600000002,8.436710300000000,27.02.2026,Songmeter,482085,Wiesentäler um Hohenahr und die Aartalsperre,Wiesentäler um Hohenahr und die Aartalsperre
50.680895100000001,8.534991900000000,27.02.2026,Songmeter,482091,Wiesentäler um Hohenahr und die Aartalsperre,Wiesentäler um Hohenahr und die Aartalsperre
"50.541265699999997,8.462804800000002,""03.03.2026"",Songmeter,482383,Weinberg bei Wetzlar,Weinberg bei Wetzlar"
"50.531116699999998,8.470205300000000,""03.03.2026"",Songmeter,482367,Weinberg bei Wetzlar,Weinberg bei Wetzlar"
"50.537134000000002,8.465899200000003,""03.03.2026"",Songmeter,482361,Weinberg bei Wetzlar,Weinberg bei Wetzlar"
"50.541495500000003,8.469775700000000,""03.03.2026"",Songmeter,482384,Weinberg bei Wetzlar,Weinberg bei Wetzlar"
"50.356443800000001,8.084674500000000,""01.04.2026"",Songmeter,482663,Feldflur bei Limburg,Feldflur bei Limburg"
50.574936500000000,8.160496999999999,25.02.2026,Songmeter,482791,Hoher Westerwald,Hoher Westerwald
50.853452799999999,8.394012000000000,26.02.2026,Songmeter,483334,Hauberge bei Haiger,Hauberge bei Haiger
"50.907984100000000,10.019307500000000,""02.03.2026"",Songmeter,488185,Rhäden von Obersuhl und Auen an der mittleren Werra,Rhäden von Obersuhl und Auen an der mittleren Werra"
"50.901362900000002,10.012246700000000,""02.03.2026"",Songmeter,488189,Rhäden von Obersuhl und Auen an der mittleren Werra,Rhäden von Obersuhl und Auen an der mittleren Werra"
"50.945496100000000,10.015899700000000,""02.03.2026"",Songmeter,488800,Rhäden von Obersuhl und Auen an der mittleren Werra,Rhäden von Obersuhl und Auen an der mittleren Werra"
"50.945241799999998,10.055054100000000,""02.03.2026"",Songmeter,488802,Rhäden von Obersuhl und Auen an der mittleren Werra,Rhäden von Obersuhl und Auen an der mittleren Werra"
49.827074799999998,8.671153800000003,31.03.2026,Songmeter,531482,Prinzenberg bei Darmstadt-Eberstadt,Prinzenberg bei Darmstadt-Eberstadt
"49.852934699999999,8.506581499999999,10.03.2026,Songmeter,573136,""Hessische Altneckarschlingen"
,Hessische Altneckarschlingen
"
51.004177700000000,10.133599200000001,02.03.2026"",Songmeter,585940,Rhäden von Obersuhl und Auen an der mittleren Werra,Rhäden von Obersuhl und Auen an der mittleren Werra"
